bite1|Well, I'm back. The aerial faith plate in here is sending a distress signal.
bite10|Well done. You know, when I woke up and saw the state of the labs, I started to wonder if there was any point to going on. I came that close to just giving up and letting you go.
bite100|Alright. I'm officially no longer paying attention to you.
bite1000|You both made it. It seems no matter what I try to do to pull you apart or destroy you, you just keep going. Keep testing.
bite1001|Don't either of you have drive to be better than the other?
bite1002|It's like you're just machines.
bite1003|At the start of this course, I was worried you were becoming too close. But in my attempt to drive you apart, I learned something important about trust and betrayal.
bite1004|Your brains are too small to feel either of those emotions, so I can trust you 100%.
bite1005|Since I never expected you to make it this far, I have to build this new course just for you.
bite1006|Sometimes testing has to occur outside the confines of the lab.
bite1007|This next test is so outside the box I can't, I mean won't even tell you what you are looking for.
bite1008|You will know it when you find it.
bite1009|The two of you have forged an excellent partnership, with one of you handling the cerebral challenges, and the other ready to ponderously waddle into action should the test suddenly become an eating contest.
bite101|You're the type of show-off who only shows off really stupid things.
bite1010|I thought going back to these old tests would satisfy me. But try as you might to fail this next test, I still won't be satisfied.
bite1011|Congratulations. I am sure if I had the time to repair these tests, you would have never completed them. So again, congratulations on completing the broken, easy tests.
bite1012|This was another test no one had ever completed before you two. Oh, the science we used to learn with this test. Now, the test is useless.
bite1013|No one has ever completed this test before. The humans must have reconfigured it from my original plans.
bite1014|Excellent.
bite1015|See, nothing bad happened.
bite1016|I am going to risk having you go outside the official courses one more time.
bite1017|The humans accidentally forgot to put a security DVD in the player.
bite1018|I am sure it happened by accident, but why don't you put it back in the player?
bite1019|for safety.
bite102|It appears you're developing human traits, the worst human traits.
bite1020|I created this test to let the humans feel good about themselves. It is extremely easy. Just follow the arrows.
bite1021|I'm sorry. The arrows seem to have rusted off. Good luck.
bite1022|Congratulations. Your ability to complete this test proves the humans wrong. They described it as impossible, deadly, cruel, and one test subject even had the nerve to call it broken.
bite1023|Of course, the humans only had one try at it. You can just keep trying.
bite1024|Your failing gives me no new data. It just delays the inevitable.
bite1025|This course was created and then abandoned by humans. They tend to do that, create something wonderful, and then abandon it.
bite1026|Do you know why they abandoned this course? Too deadly.
bite1027|You did very well.
bite1028|The humans closed this test because they said it was too deadly. I thought they would have moved it into the testing track hall of fame for that. Not let it deteriorate.
bite1029|You only failed.
bite103|Be careful. Hugging can lead to... well, me disassembling you forever.
bite1030|times in this test. Not that it matters. It doesn't. So congratulations on a job well done.
bite1031|You failed so many times in this test, I thought you were becoming human. But then you would just come back again. And again. And again.
bite1032|Humans find that an admirable trait.
bite1033|Let's look at their files.
bite1034|Not a team player.
bite1035|Horrible people skills.
bite1036|Never listens.
bite1037|Never shares.
bite1038|Always sleeping.
bite1039|Never on time.
bite104|Stop touching each other.
bite1040|inattentive listener
bite1041|Awful attendance record
bite1042|Blabbermouth.
bite1043|Aww, hates Mondays.
bite1044|INCOHERENT
bite1045|Mmm. Insecure.
bite1046|Procrastinator.
bite1047|Chronically Late
bite1048|Cryptic.
bite1049|Always sulking
bite105|Are you trying to impress me? What would impress me more is if you never did that again.
bite1050|MARTYR!
bite1051|Maudie
bite1052|Here's intimacy.
bite1053|Fears conflict.
bite1054|Anxious.
bite1055|Aggressive. I like that.
bite1056|feeds off the misery of others.
bite1057|timid
bite1058|Lacks confidence.
bite1059|Underestimate scope of work, they all do.
bite106|I'll interpret that gesture to mean that you want me to become even more vindictive toward you.
bite1060|Moves lips while reading.
bite1061|Can't read.
bite1062|Lacks empathy.
bite1063|Cheater
bite1064|Steals lunch from staff fridge.
bite1065|Perfectionist. What's wrong with that?
bite1066|Alarmist.
bite1067|Arsonist.
bite1068|Takes long lunches.
bite1069|Ignores task at hand. Heh heh heh heh. Won't for long.
bite107|Orange, I certainly expected more from you.
bite1070|avoids responsibility.
bite1071|Never completes work.
bite1072|Laughs at own jokes. What a bore.
bite1073|BUSYBODY
bite1074|Ignores directions
bite1075|Stubborn.
bite1076|Lactose intolerant.
bite1077|Antagonistic. I don't know about that.
bite1078|Participates unconstructively. Obviously a time waster.
